来源,战队,简称,地区,队伍评分,稳定度,阵容位置,游戏 ID,真实姓名,国籍,年龄,位置,Rating,Team HLTV ID,Player HLTV ID
职业,Team Vitality,VIT,Europe,1919,0.66,首发,apEX,Dan Madesclaire,France,24,IGL,1.01,9565,7322
职业,Team Vitality,VIT,Europe,1919,0.66,首发,ZywOo,Mathieu Herbaut,France,24,AWPer,1.32,9565,11893
职业,Team Vitality,VIT,Europe,1919,0.66,首发,flameZ,Shahar Shushan,Israel,24,Entry,1.12,9565,16693
职业,Team Vitality,VIT,Europe,1919,0.66,首发,ropz,Robin Kool,Estonia,24,Rifler,1.18,9565,11816
职业,Team Vitality,VIT,Europe,1919,0.66,首发,mezii,William Merriman,United Kingdom,24,Support,1.08,9565,18462
职业,Team Spirit,TS,Europe,1901,0.71,首发,chopper,Leonid Vishnyakov,Russia,24,IGL,0.98,7020,7716
职业,Team Spirit,TS,Europe,1901,0.71,首发,sh1ro,Dmitry Sokolov,Russia,24,AWPer,1.22,7020,16920
职业,Team Spirit,TS,Europe,1901,0.71,首发,donk,Danil Kryshkovets,Russia,24,Entry,1.25,7020,21167
职业,Team Spirit,TS,Europe,1901,0.71,首发,zont1x,Miroslav Plakhotia,Ukraine,24,Rifler,1.08,7020,20423
职业,Team Spirit,TS,Europe,1901,0.71,首发,magixx,Boris Vorobiev,Russia,24,Support,1.05,7020,18317
职业,Team Falcons,FLC,Europe,1905,0.75,首发,kyxsan,Damjan Stoilkovski,North Macedonia,24,IGL,1.02,11283,19600
职业,Team Falcons,FLC,Europe,1905,0.75,首发,m0NESY,Ilya Osipov,Russia,24,AWPer,1.20,11283,19230
职业,Team Falcons,FLC,Europe,1905,0.75,首发,NiKo,Nikola Kovac,Bosnia and Herzegovina,24,Entry,1.14,11283,3741
职业,Team Falcons,FLC,Europe,1905,0.75,首发,kyousuke,Maksim Lukin,Russia,24,Rifler,1.17,11283,24177
职业,Team Falcons,FLC,Europe,1905,0.75,首发,TeSeS,Rene Madsen,Denmark,24,Support,1.08,11283,12018
职业,Natus Vincere,NAVI,Europe,1894,0.8,首发,Aleksib,Aleksi Virolainen,Finland,24,IGL,1.02,4608,9816
职业,Natus Vincere,NAVI,Europe,1894,0.8,首发,w0nderful,Ihor Zhdanov,Ukraine,24,AWPer,1.15,4608,20127
